gestage	city	apartment	street	cell	dob	GENDER	region	initial	PID	YOB	pcode	RACE	gender	home	country	email	lname	fname	gp
					1975-05-20				8888802				female				Westin	Tiffany	71614502
					1982-09-16				8888803				female				Walker	Kristyn	72080416
					1950-07-06				8888804				male				McKay	George	7880378
28.3					2011-09-16				7777701				male				Richey	Steve	71081332
					2008-10-01				7777702				female				Warren	Yolanda	72080416
					2003-08-01				7777703				male				Luttrell	Paul	71482713
					2003-08-16				7777704				female				Revis	Kimberly	72004454
25.2					2012-08-24				7777705				female				Montgomery	Angela	71482713
					1989-10-26	M			9995679	1990	2155		male		USA		Alexis	Aaron	7880378
	Belmont		17 Oak Rd		2004-10-15	M	MA		99912345	2005	2478		male	800-834-9386	USA	allen.vitalis@example.com	Vitalis	Allen	71081332
	Durham		54 9th Street		1958-05-13	F	NC	M	5555001	1959	27701	White	female		USA	penny.love@example.com	Love	Penny	71614502
	Greensboro		277 Dan Road		1967-01-02	M	NC	J	5555002	1968	27214	White	male		USA	michael.peters@example.com	Peters	Michael	72080416
	Morrisville		2001 Airport Road		1952-05-12	F	NC	E	5555003	1953	27560	Black or African American	female		USA	mildred.hoffman@example.com	Hoffman	Mildred	71482713
					2010-12-16	F			6666001				female			demoally@hspc.com	Reynolds	Sophia	71482713
					1932-06-15			T	4444001				male			ChristopherTSherman@example.com	Sherman	Christopher	71614502
30.6	Sand Springs	Apt 21	80 Mill St		2010-12-16	F	OK	H	7321938	2010	74063	White	male		USA	billi.himston@example.com	Himston	Billie	72004454
